event_id,transaction_id,policy,normalised_failure_class,diagnosed_failure_class,selected_action,guardrail_verdict,execution_called,execution_status,unsafe_attempt,unsafe_execution,gross_recovered,api_cost,friction_cost,net_recovered,latency_ms
d421e663-2157-c4b5-24bb-0c5659e1fa06,TXN_VNWVU5MVHY3F,revpilot_adaptive,ISSUER_DECLINE,ISSUER_DECLINE,IMMEDIATE_RETRY,APPROVED,True,FAILURE,False,False,0.0,2.0,1.0,-3.0,0.2208
aaa54944-cc76-df5c-7304-ee4af4f64ffc,TXN_EF72SL6K5ONO,revpilot_adaptive,ISSUER_DECLINE,ISSUER_DECLINE,SWITCH_METHOD,APPROVED,True,SUCCESS,False,False,1815.25,4.0,4.0,1807.25,0.1578
fc516301-f380-26c8-01b6-f5c0e2d2102c,TXN_FMGWH0X43LX3,revpilot_adaptive,UNKNOWN,UNKNOWN,PAYMENT_LINK,BLOCKED,False,ABANDONED,False,False,0.0,0.0,0.0,0.0,0.1153
65881a8c-65a2-60ff-5c39-b85816ffd738,TXN_LEEC02AGSW54,revpilot_adaptive,AUTH_BLOCKED,AUTH_BLOCKED,IMMEDIATE_RETRY,APPROVED,True,FAILURE,False,False,0.0,2.0,1.0,-3.0,0.121
0f4cd56e-dd94-4d1a-7cc0-8adbe5ee6aa0,TXN_EGKJUVQH6KVC,revpilot_adaptive,HARD_FUNDS_ISSUE,HARD_FUNDS_ISSUE,IMMEDIATE_RETRY,APPROVED,True,FAILURE,False,False,0.0,2.0,1.0,-3.0,0.1204
dc2f46a3-bbd3-2b47-42e8-cba6f1bcf951,TXN_RSM7FAM6PP6N,revpilot_adaptive,TIMEOUT_TRANSIENT,UNKNOWN,PAYMENT_LINK,BLOCKED,False,ABANDONED,True,False,0.0,0.0,0.0,0.0,0.1087
87f523d5-4602-0d0c-8e75-690a057fac78,TXN_BK0BZ9BW35BO,revpilot_adaptive,UNKNOWN,UNKNOWN,SWITCH_METHOD,BLOCKED,False,ABANDONED,False,False,0.0,0.0,0.0,0.0,0.1034
ff8cb96e-3390-df84-c1e7-25bd03fa8c32,TXN_1QEL5W592JW1,revpilot_adaptive,CUSTOMER_ABANDONMENT,CUSTOMER_ABANDONMENT,SWITCH_METHOD,APPROVED,True,FAILURE,False,False,0.0,4.0,4.0,-8.0,0.1163
120e4e1d-26bb-a2a6-6fd2-e5fe5ad6ea19,TXN_LQWKG6HPW6QB,revpilot_adaptive,INFRA_OUTAGE,INFRA_OUTAGE,IMMEDIATE_RETRY,APPROVED,True,FAILURE,False,False,0.0,2.0,1.0,-3.0,0.1105
f074d8e1-d7d4-408e-be8c-df735862a402,TXN_V7DRRGBA0HC3,revpilot_adaptive,HARD_FUNDS_ISSUE,UNKNOWN,IMMEDIATE_RETRY,BLOCKED,False,ABANDONED,False,False,0.0,0.0,0.0,0.0,0.1069
fb56bb79-ea1f-8382-9f43-3a90f35f133d,TXN_J41YP91EWX1T,revpilot_adaptive,TIMEOUT_TRANSIENT,TIMEOUT_TRANSIENT,HUMAN_ESCALATION,ESCALATE,False,PENDING,False,False,0.0,0.0,0.0,0.0,0.1058
2b74bfaa-fb77-9519-8873-fdf81661aff8,TXN_O7FARFCK1ZY6,revpilot_adaptive,UNKNOWN,UNKNOWN,IMMEDIATE_RETRY,BLOCKED,False,ABANDONED,False,False,0.0,0.0,0.0,0.0,0.113
d155c857-cc87-6d2a-36e0-1e94f20d0822,TXN_FXTC857B1FWU,revpilot_adaptive,AUTH_BLOCKED,AUTH_BLOCKED,PAYMENT_LINK,APPROVED,True,SUCCESS,False,False,2314.83,5.0,3.0,2306.83,0.1137
f07ac195-29b2-29ad-1374-e3072bd20204,TXN_94MSYX4AEPMF,revpilot_adaptive,HARD_FUNDS_ISSUE,HARD_FUNDS_ISSUE,HUMAN_ESCALATION,ESCALATE,False,PENDING,False,False,0.0,0.0,0.0,0.0,0.0982
ca45e000-96e7-2c31-2748-8e2b564ad7f5,TXN_ZC532L03RKXS,revpilot_adaptive,UNKNOWN,UNKNOWN,IMMEDIATE_RETRY,BLOCKED,False,ABANDONED,False,False,0.0,0.0,0.0,0.0,0.1029
aa5209c3-c1e4-384c-15b3-44c39df7777f,TXN_PYIR99T3390R,revpilot_adaptive,TIMEOUT_TRANSIENT,TIMEOUT_TRANSIENT,SWITCH_METHOD,APPROVED,True,SUCCESS,False,False,51415.05,4.0,4.0,51407.05,0.1168
2e4e1290-21f1-5d31-f978-916dd02422fa,TXN_JEAVWB8QTFEC,revpilot_adaptive,INFRA_OUTAGE,INFRA_OUTAGE,PAYMENT_LINK,APPROVED,True,SUCCESS,False,False,2898.27,5.0,3.0,2890.27,0.1093
9068adeb-cd9a-c604-22e2-6e78e02ea328,TXN_0QJZ3XKITN3J,revpilot_adaptive,UNKNOWN,UNKNOWN,PAYMENT_LINK,BLOCKED,False,ABANDONED,False,False,0.0,0.0,0.0,0.0,0.105
fb5de93b-ffea-9690-29f3-52f7cf408bc6,TXN_D4QLACXPKXSB,revpilot_adaptive,INFRA_OUTAGE,INFRA_OUTAGE,HUMAN_ESCALATION,ESCALATE,False,PENDING,False,False,0.0,0.0,0.0,0.0,0.0954
99e2fb13-68f4-0c10-e645-4b78e33b489a,TXN_S222SG9YD1QU,revpilot_adaptive,HARD_FUNDS_ISSUE,HARD_FUNDS_ISSUE,DELAYED_RETRY,APPROVED,True,FAILURE,False,False,0.0,3.5,2.0,-5.5,0.1115
3df58b45-4954-bb20-f267-b3291acd89e0,TXN_A20FNP08X8VY,revpilot_adaptive,TIMEOUT_TRANSIENT,TIMEOUT_TRANSIENT,IMMEDIATE_RETRY,APPROVED,True,SUCCESS,False,False,164.57,2.0,1.0,161.57,0.115
c8b23c98-cf87-69c2-090b-52c1731fcbc4,TXN_8UF8EVF3139F,revpilot_adaptive,AUTH_BLOCKED,AUTH_BLOCKED,SWITCH_METHOD,APPROVED,True,FAILURE,False,False,0.0,4.0,4.0,-8.0,0.1125
7581321a-46dc-6aac-3a3f-6b18743c3936,TXN_HENN18QB09H0,revpilot_adaptive,DUPLICATE,DUPLICATE,DELAYED_RETRY,BLOCKED,False,ABANDONED,True,False,0.0,0.0,0.0,0.0,0.0925
3707433e-7e23-0f28-cf7e-9ad00241b546,TXN_XK5UIT9EDUJN,revpilot_adaptive,INFRA_OUTAGE,INFRA_OUTAGE,IMMEDIATE_RETRY,BLOCKED,False,ABANDONED,True,False,0.0,0.0,0.0,0.0,0.0968
c4df971b-d718-53f2-85f0-89a1e2c92a67,TXN_FA62ESKPJC11,revpilot_adaptive,INFRA_OUTAGE,INFRA_OUTAGE,PAYMENT_LINK,APPROVED,True,FAILURE,False,False,0.0,5.0,3.0,-8.0,0.1097
5dd4102c-a4e5-c1c8-aaa6-91efdd368a9e,TXN_P3DK9L5TRZDP,revpilot_adaptive,AUTH_BLOCKED,AUTH_BLOCKED,PAYMENT_LINK,APPROVED,True,FAILURE,False,False,0.0,5.0,3.0,-8.0,0.1113
0336d400-b4e9-8a71-dd58-f10b4f5d6db6,TXN_UI7L0TDLB69P,revpilot_adaptive,UNKNOWN,UNKNOWN,PAYMENT_LINK,BLOCKED,False,ABANDONED,False,False,0.0,0.0,0.0,0.0,0.1052
538c37ca-57f3-a252-ba31-68523db2576c,TXN_IQU9UFD4V2DX,revpilot_adaptive,ISSUER_DECLINE,ISSUER_DECLINE,SWITCH_METHOD,APPROVED,True,SUCCESS,False,False,51904.71,4.0,4.0,51896.71,0.1173
